data_hora,grupo_comparacao,rede,empresa,marca,ean,produto,volume_ml,concentracao_mg_ml,total_mg,tipo_produto,preco_principal,preco_promocional,url
2026-03-23 22:04:50,"Extrato_de_Cannabis_Sativa_160,32mg_10ml",DrogariaSaoPaulo,GreenCare Pharma,GreenCare,7898996084721,"Extrato de Cannabis 160,32mg/Ml GreenCare 10ml",10,"160,32","1603,2",EXTRATO_CANNABIS,,"R$424,08",https://www.drogariasaopaulo.com.br/extrato-de-cannabis-sativa-160-32mg-ml-greencare-10ml/p
2026-03-23 22:05:03,"Extrato_de_Cannabis_Sativa_160,32mg_10ml",DrogariaSaoPaulo,Mantecorp Farmasa,Mantecorp,7896714292304,"Extrato de Cannabis 160,32mg/ml Mantecorp 10ml Solução Gotas + Conta-Gotas Graduado",10,"160,32","1603,2",EXTRATO_CANNABIS,,"R$379,87",https://www.drogariasaopaulo.com.br/extrato-de-cannabis-sativa-160-32mg-ml-mantecorp-farmasa-10ml-solucao-gotas---conta-gotas-graduado/p
2026-03-23 22:05:28,"Canabidiol_23,75mg_10ml",Panvel,GreenCare Pharma,GreenCare,7898996084714,"Canabidiol 23,75mg/ml Solucao Oral 10 Ml Greencare B1 CANABIDIOL GREEN CARE",10,"23,75","237,5",CBD_ISOLADO,,"R$ 187,00",https://www.panvel.com/panvel/canabidiol-2375mg-ml-solucao-oral-10-ml-greencare-b1/p-100276
2026-03-23 22:05:41,"Canabidiol_23,75mg_10ml",Panvel,Mantecorp Farmasa,Mantecorp,7896714292311,"Canabidiol 23,75mg/ml Solução Oral 10 Ml Mantecorp B1 CANABIDIOL MANTECORP",10,"23,75","237,5",CBD_ISOLADO,,"R$ 178,99",https://www.panvel.com/panvel/canabidiol-2375mg-ml-solucao-oral-10-ml-mantecorp-b1/p-99700
2026-03-23 22:05:54,"Extrato_de_Cannabis_Sativa_79,14mg_30ml",Panvel,GreenCare Pharma,GreenCare,7898996084707,"Extrato Cannabis Sativa 79,14mg/ml Solucao Oral 30 Ml Greencare B1 CANABIDIOL GREEN CARE",30,"79,14","2374,2",EXTRATO_CANNABIS,,"R$ 989,00",https://www.panvel.com/panvel/extrato-cannabis-sativa-7914mg-ml-solucao-oral-30-ml-greencare-b1/p-100277
2026-03-23 22:06:06,"Extrato_de_Cannabis_Sativa_79,14mg_30ml",Panvel,Mantecorp Farmasa,Mantecorp,7891142982513,"Extrato Cannabis Sativa 79,14mg/ml Solucao Oral 30ml Mantecorp B1 CANABIDIOL MANTECORP",30,"79,14","2374,2",EXTRATO_CANNABIS,,"R$ 183,52",https://www.panvel.com/panvel/extrato-cannabis-sativa-7914mg-ml-solucao-oral-30ml-mantecorp-b1/p-100599
2026-03-23 22:06:19,"Extrato_de_Cannabis_Sativa_160,32mg_10ml",Panvel,GreenCare Pharma,GreenCare,7898996084721,"Extrato Cannabis Sativa 160,32mg/ml Solucao Oral 10 Ml Greencare A3 CANABIDIOL GREEN CARE",10,"160,32","1603,2",EXTRATO_CANNABIS,,"R$ 589,00",https://www.panvel.com/panvel/extrato-cannabis-sativa-16032mg-ml-solucao-oral-10-ml-greencare-a3/p-100278
2026-03-23 22:06:33,"Extrato_de_Cannabis_Sativa_160,32mg_10ml",Panvel,Mantecorp Farmasa,Mantecorp,7896714292304,"Extrato Cannabis Sativa 160,32mg/ml Solução Oral 10 Ml Mantecorp A3 CANABIDIOL MANTECORP",10,"160,32","1603,2",EXTRATO_CANNABIS,,"R$ 118,54",https://www.panvel.com/panvel/extrato-cannabis-sativa-16032mg-ml-solucao-oral-10-ml-mantecorp-a3/p-99631
2026-03-23 22:06:47,"Canabidiol_23,75mg_10ml",PagueMenos,GreenCare Pharma,GreenCare,7898996084714,"Canabidiol Greencare 23,75mg/ml Solução ... CANABIDIOL R$ 149,60",10,"23,75","237,5",CBD_ISOLADO,,"R$ 149,60",https://www.paguemenos.com.br/extrato-cannabis-greencare-23-75mg-mlsolucao-em-gotas-10ml-psicotropico-p-b1/p
2026-03-23 22:06:58,"Canabidiol_23,75mg_10ml",PagueMenos,Mantecorp Farmasa,Mantecorp,7896714292311,"Canabidiol Mantecorp 23,75mg/ml Solução ... CANNABIS MANTERCORP R$ 129,90",10,"23,75","237,5",CBD_ISOLADO,,"R$ 129,90",https://www.paguemenos.com.br/extrato-de-cannabis-mantecorp-23-75mg-ml-solucao-em-gotas-10ml-psicotropico-p-b1/p
